詞條	中文	音節	釋義	頁數	備註	轉寫者
Kokko	母鳥	Ko.kko	a hen bird.	78		容榕_71-99
Kokko badda	公雞	Kok.ko ba.dda	a cock.	78		容榕_71-99
Kokko sinni	母雞	Kok.ko sin.ni	a hen.	78		容榕_71-99
Kole	黃雀	Ko.le	kole a kis, a yellow finch.	78		容榕_71-99
Koligga	蛙	Ko.li.gga	a frog. Goliggo, takeis	78		容榕_71-99
Korro-an	???	Kor.ro.-an	party coloured.	78		容榕_71-99
Korrokorro-an	色彩斑斕的	Kor.ro.ko.rro.-an	very much variegated.	78		容榕_71-99
Korronot	某種小害蟲	Kor.ro.not	certain small vermin	78		容榕_71-99
Kumbor	汲水	Kum.bor	kinumbor, kakumbor, g. koborra, I koborren. Kinebor, ino-koborren, to draw water, to lade.	78		容榕_71-99
Kúmmaarchûb, ki, ka	汙染空氣	Kúm.ma.ar.chûb, ki, ka	kaarchabba, to break wind: ka kaarchab,, foul wind.	78		容榕_71-99
Kúmmabach, ki, ka	從底部綑綁	Kúm.ma.bach, ki, ka	ki, ka, k‚abacba, kabachen, kina bach, inokabachen, pakabach, trans. nom. ka kabach, a sort of binding from under the bottom.	78		容榕_71-99
Kummaat	切；剪	Kum.ma.at	kinummaat, kakummaat, g. kaatta, l: kaattan, kinaattan, ino’kaattan, to clip, to cut. written gûmmaat, Kummaat o chaar, to make a pen.	78		容榕_71-99
Kûmmaber, ki, ko	一種綑綁的方式	Kûm.ma.ber, ki, ko	kablierra, kaberren, kinabber, ino-kabberren. Pakabber. Also a kind of binding, as kûmmabach.  Kakabber, nom. such kind of binding. Ma akakabber, a binder.	78		容榕_71-99
Kûmmados	攜	Kûm.ma.dos	kinûmmados, kakûmmados, g: kadossa, I: kadossen, kinados, inokadossen, to take in the arms.	78		容榕_71-99
Kúmmaggimo	帶來困惑	Kúm.mag.gi.mo	kinummaggimo, kakummaggimo, g: kooggimoa, kooggimoon. kinaggimo, ino-kooggimoon, to bring to confusion. Written gûmaggimo.	78		容榕_71-99
Kûmmaibach, ki, ka	放在投石器上	Kûm.mai.bach, ki, ka	kaihacha, kaibachen, kinaibach, ino-kaiûachen, to put in a sling. Pakûibach, to do so. Kakaibach, a sling.	78		容榕_71-99
Kummaizizi	做事輕柔	Kum.mai.zi.zi	kinum maizizi, kakūmmaizizi, kaizizia, to do anything softly.	79		容榕_71-99
Kummallabei, ki, ka,	從底部綑綁	Kum.mal.la.bei, ki, ka,	kallabeian, kinallabeian, ino-kallabeian; as kummabach.	79		容榕_71-99
Kûmmalossikos	發現	Kûm.ma.los.si.kos	kinûmmalossikos, kakummalossikos, kalossikossa, I: kalossikossen,  kinalossikos, ino-kalossikossen, to uncover, to discover.	79		容榕_71-99
Kûmmalossikot, ki, ka	捲曲	Kûm.ma.los.si.kot, ki, ka	kalossikotta, kalossikotten, kinalossikot, inokalossikotten, to curl, act.  pakalossikot, trans. kakalossikot, nom. a curling, a curl.	79		容榕_71-99
Kúmmai	背在背上	Kúm.mai	kinämmai, kakūmmai. g. kaia, I: kai-in, kinai, ino-kai-in, to carry on the back. Written gummai.	79		容榕_71-99
Kummallobos	把東西摺疊起來	Kum.mal.lo.bos	kinummallobos, kakūmmallobos, g: kallobossoa,  I. kallobossen, kinallobos, inokaliobossen, to fold any thing up, as tobacco, money, &c. in paper.	79		容榕_71-99
Kunmammo	懶懶地將手叉在胸前	Kun.mam.mo	kinum mammo, kakummammo, g: kammoa, I: ikanimo, inikammo, inoikammo,  to fold the arms lazily.	79		容榕_71-99
Kummapier, ki, ka	鉤住	Kum.ma.pier, ki, ka	kapiera, pas, kapieren, kinapier, ino-kapieren, to hook on. Pakapier, trans.kakapier, a hooking on.	79		容榕_71-99
Kummapos	停止	Kum.ma.pos	kinummapos, kakūmmapos, g: kapossa, kapossan, & kinapos, kinapossan,  inokap ossan, to stop up. Kammapos, o kallaman, to close a pot: kûmmapos, o tarran, to stop up a road. Kakopos, the stopping of an action. Ma akakapos, to stop up.	80		容榕_71-99
Kummaram	將⋯⋯耙在一起	Kum.ma.ram	kinûmmaram, kakummara, g: karama, I: karaman, and kinarram, kinarraman, inokarraman, to rake together.	80		容榕_71-99
Kummargar	把房子固定在地上的柱子上； 船隻停泊	Kum.mar.gar	kinämmargar, kakömmargar, kargarra, kargûrran, kinargarran,inogargarran,  when a house is in danger of being blown down by the wind to fasten it to a pole stuck in the ground.  Also a vessel lying at anchor.  Written gûmmargar, gagargar, nom. an anchoring, a cable. Gagargaran aijan, an anchorage. a roadstead.	80		容榕_71-99
Kûmmartuppo	潛水	Kûm.mar.tup.po	kinämmartúppo, kakūmmartúppo, g: kartúppoa, to dive underwater.  Kakartúppo, a ducking. Maakartuppo, a diver.	80		容榕_71-99
Kûmmarummokûmmo	皺在一起	Kûm.ma.rum.mo.kûm.mo	kinummarummokummo, kakūmmarummokummo, g. karummokummoa, I: karūmmokūmmoon,  kinarummokummoon, ino-karummokammoon, to wrinkle together.	80		容榕_71-99
Kummarini	做成球狀，捲起來	Kum.ma.ri.ni	to roll. Kiilummarinikini, kinum marrinikini, kakūmmarrinikini, g. karrinikinia, l: karrinikinien, kinarinikinien, inokarrinikinien, to make round like a ball, to roll up, activ. written gåmmarini.	81		容榕_71-99
Kûmmasa, ki, ka	做夢	Kûm.ma.sa, ki, ka	impe. kasa, to dream. Pakasa, transit. kasa, nom. a dream. Minit o nûa kasa, I saw in my dream.	81		容榕_71-99
Kûmmaskas	刮、擦	Kûm.mas.kas	kinûmmaskas, kakûmmaskas, kaskassa, I: kaskassen, kinaskas, imokaskassen, to scrape. l. gimmasgas, gagasgas.	81		容榕_71-99
Kûmmatos	搔鬍子	Kûm.ma.tos	kinummatos, kakūmmatos, g: katossa, I: katossan, kinatossan, inokatossan, to scrape the beard.	81		容榕_71-99
Kûmmattir	用長繩綑綁成柵欄	Kûm.mat.tir	kinummattir, kakummattir, g: katirra, I: katirren, kinattir, inokattirren,  to bind with a long cord, as a fence, and the roofs of houses are bound.	81		容榕_71-99
Kûmmatto	拉取；吸引	Kûm.mat.to	kinummatto, kakummatte, g: kattoa, I: kattoon, kinatton, ino-kattoon, to draw, to pull to one's self. Pakatto, transit. kakatto, nom: people say, kūmmatto no morabbies, the ebb begins to draw.	81		容榕_71-99
Kûmmaar	收割	Kûm.ma.ar	kinûmmaar, kakûmmaar, g: kaura, I: kańron, kinaar, inokańron, to reap, to mow.  Kaur, nom. a scythe, a reap hook.	82		容榕_71-99
Kûmmelokkolo	跳躍	Kûm.me.lok.ko.lo	kinum melokkolo, kakummelokkolo, g: kolokkoloa, I: kolokkoloan, kinolokkoloan, inokolokkoloan,  to jump over any place.	82		容榕_71-99
Kûmmemûch	大衣袖子	Kûm.me.mûch	kûmga, kinumga, kinûmûch, &c. to close the sleeve of a coat.	82		容榕_71-99
Kûmmeries	把頭靠在一邊；決定目標	Kûm.me.ries	kerisa, pass: kerises, kirieries, inokerises, to lay the head on one side, to take aim.  Pakeries, transit. kakeries, nom.	82		容榕_71-99
Kûmmenis	分裂某物；撕開某物	Kûm.me.nis	kinûmmenis, kakummenis, kinissa, kinissen, kininis, inokinissen, to appropriate what was common by division, or to tear any thing in two.  Written gåmmenees.	82		容榕_71-99
Kûmmeriel	仔細地聽	Kûm.me.riel	kinûmmeriel, kakûmmeriel, g: kriella, I: kriellan, kiniriellan, ino-kriellan, to listen sharply.  Kakriel, a listening. Ma-akakriel, a listener.	82		容榕_71-99
Kûmmeroa	一分為二	Kûm.me.roa	kinûmmeroa, kakûmmeroa, g. keroa, or eroa, I: keroan, or eroan, kineroa, or ineroa, ino-keroan, or inoercan, to divide in two;  written gûmmeroa, gageroa, such division. *The inflections come from peroa, see in P.	82		容榕_71-99
Kummi	向後看	Kum.mi	kinummi, kakûmmi, g: kia, l: kian, kinian, inokian, inikkan, to look behind.	83		容榕_71-99
Kummiagh	伸出	Kum.miagh	kinûmmiagh, kakūmmiagh, g; kiagcha, I: kiagchen, kiniagch, ino kiagchen, to stretch out. Kûmmiagh, o asjiel, to stretch out the legs: written gûmmiach;  magiach, stretched out.	83		容榕_71-99
Kummibokibo	（因爭吵而）打擾他人	Kum.mi.bo.ki.bo	kinûmmibokibo, kakûmmibokibo, g: kibokiboa, I: kibokiboon, kinibokibo, ino-kibokiboon,  to disturb, as by quarrelling. Pakiboki bo, transit. kakibokibo, nom.	83		容榕_71-99
Kummikiet	撕碎某物	Kum.mi.kiet	kinummikiet, kakummikiet, g. kiekiedda, I. kikiedden, kinikiet, inokikiedden, to tear any thing in pieces. Pakikied, trans, kakikied, a rip.	83		容榕_71-99
Kummirigh	畫一條直線在紙或木片上	Kum.mi.righ	kinûmmirigh, kakûmmirigh, g. kierga,  I: kiergan, kimirgan,inokirgan, to draw a line on paper or wood,  &c. Kakirmich, a line, a ruler.	83		容榕_71-99
Kûmminkin, ki, ka	用小鈴鐺發出喀擦聲	Kûm.min.kin, ki, ka	kinkinna, kinkinnen, kininken, inokinkinnen,  to click as with small bells.  Pakinkin, transi. kakinkin, a clinking.	83		容榕_71-99
Kummio	（像山羊、公牛般）用頭撞	Kum.mio	kinummio, kakimmio, ki-o-a, kioon, kineo, inokioon, to but with the head, as goats, oxen, &c.	84		容榕_71-99
Kummio, ki, ka	削尖	Kum.mio, ki, ka	kiolia, kiollen, kiniol, inokollen, to sharpen at the point; act. pakiol, trans, kakiol. Ma-akakiel, to point.	84		容榕_71-99
Kummir	捕魚	Kum.mir	kinûmmir, kakûmmir, g: kirra, I: kirren, kinir, inokirren,  to fish with a net called kagir, l: gummir, nom: gagir, a net, also fishing.	84		容榕_71-99
Kummirgir	清除；取消	Kum.mir.gir	kinummirgir, kakûmmirgir, g: kirgirra, I; kirgirren, kinirgir, inokirgirren,  to erase, to cancel. See gûmmirgir, nom, gagirgir, an erasion, a cancelling.	84		容榕_71-99
Kunmirkir, ki, ka	用牙齒咬	Kun.mir.kir, ki, ka	kirkira, kirkirren, kinirkir, inokikirrren,  to gnash with the teeth; act, pakirkir, trans, kākirgir, a gnashing. Mla-akakirkir, to gnash.	84		容榕_71-99
Kummirragh	撕碎	Kum.mir.ragh	kinummirragh, kakummirragh, g; kirragcha, I:kirragch en, kirrirragch, inokirragchen,  to tear to pieces.	84		容榕_71-99
Kummirra, kirragh, ki, Ka	kūmmirragh找不到相應詞	Kum.mir.ra, kir.ragh, ki, Ka	g; kirra, kirragcha, see kūmmirragh.	84		容榕_71-99
Kûmmissikissiel	緩慢；無論走路、吃、工作動作都很輕柔	Kûm.mis.si.kis.siel	kintiminissikissiel kakûmmissikissiel, g: kissikissilla slowly, to do anything quietly, whether walking, eating, working, &c.	84		容榕_71-99
Kûmmissokisso, ka	（如動物尾巴）上下擺動	Kûm.mis.so.kis.so, ka	kissokissoa, kissokosoon, inokissokissoon, to move up and down as the tail of an animal. Mado kūmmissokisso, kior, kissokissot, nom. kakisso,  is said of the rudder of a ship because it moves backwards and forwards:  otherwise kakisso, and kakissokisso, the motion itself.	84		容榕_71-99
Kûmmitor	編織成蘆葦或竹子狀	Kûm.mi.tor	kinummitor, kakūmmitor, g: kittorra, I: kittorren, kinitor, inokitorren,  to plait any thing as a reed, bamboo, &c.	85		容榕_71-99
Kûmmitta, ki, ka	腳往後伸	Kûm.mit.ta, ki, ka	kitta, kittan, kinitta, inokittan, to stick the foot out behind. Pakitta, trans. kakitta, a sticking out.	85		容榕_71-99
Kûmmittikit	握拳；快速抓住物品	Kûm.mit.ti.kit	written gummiddiggit.	85		容榕_71-99
Kûmmoagh	鬆綁；解開；敬重心靈，獲得勇氣	Kûm.mo.agh	kinummoagh, kakûmmoagh, g: koageha, l: koagchen, kinoagh, inokoagehen,  to loose, to unbind, to put off, as clothes. It is also used respecting the mind,  and means to draw in one's courage.  Paka-ach, pi, pa, ipako-ach-a, &c. to loose. Kûmmoach obre, to unstring a bow.	85		容榕_71-99
Kûmmoesach	鑿	Kûm.moe.sach	to chizel, ki, ka, kakoesach, a chisel.	85		容榕_71-99
Kûmmoar	跳	Kûm.mo.ar	kinummoar, kakûmmoar, g: koarra, I: koarren,  kino-ar, inoko-arren, to jump over.  Kakoar, nom. a jump. Maakakoar, to jump.	85		容榕_71-99
Kúmmogn	囚禁	Kúm.mogn	kinummoen, kakummoen, g: koeaa, l: koenen, kinden, inokoen,  to imprison, to bind. Kakoen, chains. Ka koen-an, a prison.	85		容榕_71-99
Kûmmogh	繫	Kûm.mogh	(written gúmmoch) kinûmmoch, kakûmmogh, to bind,  g: kogcha, I: kogchen, kinogh, inokogchen, kummogh, o baan i barron, to tie the horse to a tree, mom. gagoch, a binding.	86		容榕_71-99
Kûmmoghkoch	洗掉；淘汰	Kûm.mogh.koch	kinûmmoghkoch, kakûmmoghkoch, g: koghkogeha, I: koghkogchen,  kinoghkogh, ino-koghkogchen, to wash out.	86		容榕_71-99
Kûmmonogh	關閉	Kûm.mo.nogh	kinûmmomogh, kakûmmomogh, g: kûmmogcha, I: kûmmogchen,  kinummogh, inokūmmogchen; this word is only aded to ranied, rima, and riba, signifying to shut up.	86		容榕_71-99
Kûmmokot	曲躺	Kûmmokot	kinûmmokot, kakûmmokot, g: kokotta, to lie bent.	86		容榕_71-99
Kûmmolot, ki, ka	憎恨	Kûm.mo.lot, ki, ka	imp. kolotta, passi. kolotten, kinolot, inokolotten, to loathe. Pakolot, transi, kakolot, a loathing.	86		容榕_71-99
Kummothot, ki, ka	鞠躬	Kum.mo.thot, ki, ka	kotkotta, to bow, as lummogot.	86		容榕_71-99
Kummoliet	kummaibach找不到相應字	Kum.mo.liet	as kummaibach.	86		容榕_71-99
Kummonokummo	摩擦雙手	Kum.mo.no.kum.mo	kinummomokummo, kakummokûmmoa, kummokummoon, kinummokûmmoon, inokummokummoon, to rub the hands one against the other.	86		容榕_71-99
Kümmaluchkach, ki, ka	將動物剖成一半	Küm.ma.luch.kach, ki, ka	kalachkacha, kalachen, kinalachkach, inokalachkachen. Pakalachkach, transi,  to cut an animal in two, lengthways; the same as simmarabsab.	87		容榕_71-99
Kummono	忍耐	Kum.mo.no	kintimmono, kakummono, g: konoa, kono-an, kinoloan, inokonoan,  to bear, to endure. Kakoeno, patience, endurance. Ma-akakoeno,patient.	87		容榕_71-99
Kummoragh	意圖	Kum.mo.ragh	(written gûmmorach,) kinummoragh, kakûmmoragh, g: koragcha, l: koragehen, kinorach,  intend. nom. gagorach, ma-agagorach, a flayer.	87		容榕_71-99
Kummossi, ki, ka	違反	Kum.mos.si, ki, ka	kossia, kossian, kinossi, ino-kossen. Pakossi, transi. to disobey.  act. kakossi, wickedness, disobedience.  Ma-akakossi, a wicked fellow.  Pakossi, pi, pa, pakossia, ipakossi-in, inipakossi, inopakossi, to disobey.	87		容榕_71-99
Kumpi	摺疊；捲；打包（放入箱子）	Kum.pi	kinûmpi, kakûmpi, g: kupia, I: kuppien, kinuppi, inokuppien,  to fold up, to roll up, to pack together in a box.	87		容榕_71-99
Kummumkum, ki, ka	用所有的手指抓住	Kum.mum.kum, ki, ka	kāmkämma, to lay hold of with all the fingers at once. Pakuˋmkuˋm, transit. kakûmkûm, nom.	87		容榕_71-99
Kûmrar, ki, ka,	打開手掌	Kûm.rar, ki, ka,	karra, to open, to unfold the hands only: kûmrar o rimai.	88		容榕_71-99
Kúmpi	折或捲起來的東西；捆	Kúm.pi	any thing folded or rolled up, a bundle. Küppio zikakas, a roll of silk, Kûppi o bazigh, a roll of deer skins.	88		容榕_71-99
Kûmral, ki, ka	（植物）攀爬	Kûm.ral, ki, ka	to crawl: used only of plants and vegetables.	88		容榕_71-99
Kûmzijr	夾；撿；採	Kûm.zijr	kinſmzijr, kakûmzijr, g: kizijrra, I: kizirren, kienzijr, inokizijrren, to nip, to pinch, to pick, to pluck. People say also, kumzijr o to-i, draw out a splinter. Kakezijr, a nip.	88		容榕_71-99
Lallab	鏟子	Lal.lab	a pan, a shovel. From Palablab.	88		容榕_71-99
Labo	富饒的	La.bo	added to ta, means fruitful; joined to baron, it means weak, unable to work. Malabo, the verb.	88		容榕_71-99
Lalla	搗碎的米	Lal.la	bruised rice.	88		容榕_71-99
Lallabach	韭蔥	Lal.la.bach	a green leek.	88		容榕_71-99
Lallama	粥；稀飯	Lal.la.ma	pap made from rice and water.	88		容榕_71-99
Lallaas	一種黃色的樹皮（用來作矛、編織、裝飾）	Lal.la.as	a fine yellow kind of bark, which people use, and sometimes insert for ornament: as their spears are wound round with red rattan and this bark alternately; the natives also weave the same split very fine, here and there, in their own coats, for ornament.	88		容榕_71-99
Lallatach	木杖	Lal.la.tach	a wooden stand, for a light. From Lûmmatagh.	89		容榕_71-99
Lolian	正午	Lo.lian	and lalian azijhja, midday.			容榕_71-99
Lallum	挖掘	Lal.lum	in, within. Molalitim, in, deep. Paolallum, transi. to make any thing deep, to dig deep.			容榕_71-99
Lamo	露水	La.mo	the dew; verb. malamo, to bedew; bedewed, or damp.			容榕_71-99
La-ob	穀倉（放工具、穀物）	La.-ob	an out house, where people keep all kinds of implements, rice, &c.			容榕_71-99
La-obbómas	倉庫（放魚、肉）	La.-ob.bó.mas	an out house; where people keep fish or flesh. Compounded of la-ob, and momas.			容榕_71-99
Lalka	雷	Lal.ka	the lightning. From Lumka.			容榕_71-99
Lalladan	墊子	Lal.la.dan	a cushion.			容榕_71-99
Lallokogh	梳子	Lal.lo.kogh	a comb.			容榕_71-99
Lalpi	睫毛	Lal.pi	the eyelashes.			容榕_71-99
Lemesoleso	一種傳統習俗，女人舞蹈結束後歡呼、喊叫。	Le.me.so.le.so	I: linenesoleso, lalenesoleso, lenesolesoa, to shout after the native manner, when the women have concluded a dance or song.			容榕_71-99
Lido	意義；解釋	Li.do	meaning, interpretation, explanation, li, la, lidoa. Palido, transit. Lido, opinion, meaning.			容榕_71-99
Libbe-adippi	錫	Lib.be.-a.dip.pi	tin			容榕_71-99
Limmichob	啜飲	Lim.mi.chob	linimmichob, lalinimmichob, lichobba, lichobben, linichob, inoli. chobben, to sip.			容榕_71-99
Limmabit	按壓	Lim.ma.bit	li, la, labitta, labitten, linabit, inolabitten, to pinch between two; but to press underneath is summelit; it means also to press against another.			容榕_71-99
Limmiod	扭；擰	Lim.miod	linimiod, lalimiod, liodda, liodden, liniod, inoliodden, to wring once round, to give one turn.			容榕_71-99
Limka	點亮；眨眼	Lim.ka	to lighten, to blink with the eyelids.			容榕_71-99
Loan	馬；牛；水牛；奴隸（用於輕視或怒罵時）	Lo.an	a horse, cow, buffalo, &c. also a servant, a slave. In this last sense the word is used in contempt or in anger.			容榕_71-99
Lo	岸邊	Lo	as roos, a shore.			容榕_71-99
Lummala	招來邪惡；纏住	Lum.ma.la	to induce, to incite to evil. Also to haunt. Palala, to tempt; lalala, a temptation, a ghost.			容榕_71-99
Lúmmalak	恐嚇	Lúm.ma.lak	to threaten by word or action.			容榕_71-99
Lummaliech, li, la,(接頭詞)	小病	Lum.ma.li.ech, li, la,	a little sick, in disposed.			容榕_71-99
Lummapies	跪下	Lum.ma.pies	to kneed, to press down			容榕_71-99
Lûmmapilapies	lûmmapies找不到相應字	Lûmmapilapies	linummapilapies, lalûmmapilapies, lapilapiessa, &c. the same as lûmmapies, lallapilapies.			容榕_71-99
Lûmmaslas	贖回	Lûm.mas.las	to redeem any one from punishment, with money.	91		容榕_71-99
Lûmmatagh	樹立	Lûm.ma.tagh	to set on a stand.	91		容榕_71-99
Lûmmauk	求婚	Lûm.ma.uk	to court, in order to marriage.	91		容榕_71-99
Lummaulatāb	將火燃得很旺；（用火）煮東西	Lum.mau.la.tāb	to make burn brighter or clearer. Also to cook or boil anything by a clear fire.	91		容榕_71-99
Lûmmias	（像眼睛般）打開	Lûm.mi.as	to open, as the eyes.	91		容榕_71-99
Lûmmibach	在肚皮上畫	Lûm.mi.bach	to draw in one's belly.	91		容榕_71-99
Lûmmido	否認	Lûm.mi.do	to deny; lallido, a denial.	91		容榕_71-99
