lemma,zh-def,ori-def,ori-page
Maboch-o,臭（動詞）,"minaboch-o, mamabogh-o, to stink. Paboch-o, trans. et acti. imp. aboch-on, pas. aboch-oan, ipaboch-oa, ipaboch-o, inaboch-oan, inoaboch-oan, inipaboch-o, ino-ipabocho. Bocho, stink.",104
Maborra,使和平,"miniaborra, mamaborra, aborra, to be pacified, neutr. Borra, an ally, from maborra. Ma-aborra, a peace maker. Aborra, pacifying. Paborra, trans. et act. imp. aborra, ipaborra, to pacify.The pas. act. trans. aborran,inaborra, ino-aborran, ipaborra, inipaborra, inoipaborra.",104
Maborried,顛倒的,"mi, ma aborrieda, neutr. overturned; the root, porried.",104
Maborroch,凸起的；顛簸的；有角的；非圓滑的,"raised, bumpy, angular, not round. Maborroch a sies, maborrogh a torran, maborroch ja morra &c. Paborrogh. trans. et act. imp. aborrogga, ipaborrogga, pas. aborroggen, inaborrogh, inoaborroghen. ipaborroggen, inipaborrogh, ino ipaborroghen, Borroch, a bump.",104
Mabosso,磨損、改變,"mi, ma, abosoa, neutr. to wear away, to change. Paboso, pi, pa, imp. abosoa, pass. abosoan, inobosoan, ipabosoa, inipaboso, inoipaboso, to wear off.",105
Macha,死的,"dead. Cho macha, a dead man; also, dried up. Macha da baron, dry wood. Macha da ta, dry land. Pacha, to kill, acti. imp. acha, achar, inûcha, ino achan, trans. ipacha, inipacha, inoipacha. The neutr. has no other noun than macha itself. It is also the verb macha, mi, ma, acha, to die. Acha, a death blow; nom. Ma-acha, a murderer.",105
Mach-yato,流過,to flow through.,105
Mach-achio-a-oogh,as machio-a-oogh,as machio-a-oogh.,105
Machachod,姦夫；淫婦；有外遇的人,an adulterer or adulteress. From chûmmod.,105
Machab,祕密地進行某事,"minachab, mamachab, achabba, achabban, inachabban, inoachabban, to do any thing secretly. Pachab, transi. Achab, theft. Ma achab. a thief.",105
Machaddak,附近的,"near, not far, mi, ma, achaddikka: neutr. paehaddik, trans. et acti. nom. chaddik, is used as the preposition prope. Radix chûmmaddik. Maûbe a chaddik, to look near. Ma-achaddik ocho, a neighbour, one who is near.",105
Machallo,清澈的,"mi, ma, achalloa, clear; machallo a to, clear water: machallo a boesûm, clear air: machallo a tattorrodauron, a clear mirror. Pachallo, trans. et activ. Gallo, nom. clearness. Machallochallo, intend. Ma-achallo, clearer. Pachallo, act. achalloa. pas. ipachalloa, trans. achalloon, inachalloon, inoachalloon, ipachallo, inipachallo, inoipachallo.",106
Machal-pod,盡頭,"the end, mi, ma, achal-pod-da, to come to the last, completed as machil. Achalta, or achalpodda dûmmoro tapos, come in together. Minachalt, or minachal-pod sohsa tapos, they are all gone in together. Pachalt, is acti. et. Pachalpod, trans. finished. Achalta, achalten, inachalt, inoachalten, imp. pas. Pachalta, ipachalt, inipachalt, inoipachalt.",106
Machammochammo,深的,"deep. Machammochammo-nochaûch, spoken of a well. Mina, mama, achammochammoa, any thing dark and dismal as in a well. Mamarorammo, is used also by the Takey people Chammochammo ai? morammo, nom.",106
Machanagh,有凹口的,"mi, machanacha, nertr.? notched. See chûmmanach. Chanag, a notch in an arrow.",107
Machapor,話少的,"mi, ma, g: achaporra, of few words, not to speak much, to be sti? Pachabor, transi. et acti. Machapochapor, intend. Chapor, nom. silence. ? is chapachapor. Ma achapor, one which keeps silence: imp. ahaporra, ?, inachaporran, inoachaporra, ipachaporra, pas. ipachapor.",107
Machaogh,有凹洞的；粗糙的,"pitted, rumpled, rough. Pachauch, trans. et acti. imp. achaûcha, achaûchen, inachaûch, ipachaûcha, pas. ipachauchen, inipachauch, inoachauchen, inoipachauch. Chaûch, a well. Ma achauch, a well digger.",107
Maghappo,發光的 （精神好的）,"glowing, metaphorically used of ardent spirits; because th? make the face to glow. Pagappo, glow. acti. trans. imp. apappoa, agpoan, inagappoan, inoagappoan, ino ipagappo.",107
Macharapo,,"mi, ma, acharapoa, neutr. chûmmarappo.",107
Macharrieb,隱形的，用於風、神靈,"mi, ma, acharriebba, invisible, is used of wind, spirit, &c. Acharrieb, nom. Ma acharrieb, one who renders any thing invisible.",108
Machatto,抽煙,"mi, ma, achattoa, to smoke. Pachatto, acti. trans. imp. achattoa, achattoan, inachattoa, inoachattoan, ipachattoa, pas. ipachatto, inipachattoa, inoipachattoa. Chatto, nom.",108
Mache,猜測某事物是否平均,"mi, ma, imp. achea, pass. acheën, inache, inoacheën, to guess whether any thing is even or uneven.",108
Machaûbon,開玩笑；戲耍；空閒地坐著,"minacheaubon, mamachaeaûbon, pas. acheaubonnan, inacheaûbonnan, inoachaûbonnan. Acheaubonnan, to jest, to joke, to sit idle, to dally. Acheûabon, nom. dallying. Ma acheaubon, to trifle. Ta ja don acheaubonnan, the place where people play.",108
Mach-do,甜的,"sweet: mi, ma, achedoa, （the e short） chedó, sweet. Ma achedo, a sweetener. Pachedo, transi.",108
Macheer,靈敏的,"ingenious, mi, ma, acheer. Pacheer, trans. et act. pi, pa, imp. achera, acheran, inacheran, inoacheran, ipachera, pas. ipacheer, inipacheer, inoipacheer. Cheer, wit.",108
Macheda,意圖,"intend. machedacheda; mi, ma. acheda, pas. achedaûn, & c. to change one's word or will. Pacheda, trans. Cheda, changeableness.",109
Machen,兄長；姊姊,an elder brother or sister: eousin or nephew.,109
Machia,後悔,"minachia, mamachia, achia, to repent, to change one's mind. Pachia, transit. to change any one. Achia, repentance. Ma achia, one who exhorts to repentance.",109
Machi-ag chi erab,胡說,"mi, ma to drivel: achi achi erab, or machi achi, mi, ma, achi a chia, this is also to leak; nom. achi a ch, and achi a chi erab, slaver. Ma achi achi, one who drivels. Pachia chi erab, and pachi a chi, transi. Ma chiagchi, composed from machiagchi, to leak, and erab, spittle. Machiagchi ohallaonan, the pot leaks. Achiagchi in, inachiagchi in, ina achisgchi in ja to, the water is leaked out.",109
Machiëgh,烤,"minachiegh, mamachiegh, neutr. to roast; achiecha, to broil, trans. Pachiech, to boil, the root is chummiegh, see the nomina; activ. siet P.",109
Machigilla,非常熱的,"mi, ma, achigilla, nearly like medadorri, Takeijs. Chiegh, a roasting. Ma achiegh, a roaster, as ma achachieg. Chieg, roast. Ma achieg, any thing roasted",109
Machimit,整齊的；乾淨的,"mi, ma, achimta, spruce, neat, clean, avoiding filth. Pachimit, trans. et act. imp. achimta, achimten, inachimtin, inoachimtin, ipachimta,pass. ipaehimt, inipachimt, inoipachimt. Machimchimit, idem. Ma achimit, a clearer. Chimit, nom. subst. cleanliness, neatness; used also as an adverb.",110
Machigh,酸的,"sour, mi, ma, achich-a. Pachich, trans. et act. imp. achichos, achich in, inachich in, ino achich in, ipachich a, pas. ipachich, inipachich, ino ipachich. Chich, sourish.",110
Machio-a-oagh,回歸,"minachio-a-oagh, mamachio-a-oagh, a returning.",110
Magcho,說,"mi, ma, mamagcho, ipagchoa, ipagcha. inipagcho, inoipagcho, to speak.",110
Machobot,混亂的；粗糙的,"rumpled, rough; mi, ma, pachobot, transi. et acti. Machobochobo intend. Chobor, a ruffler. Ma achobor, one who makes ruffles. Imp. achobotta, pas. achobottan, inachobottan, inoachobottan, ipachobattu, pas. ipachobot, inipachobot, inipachobat.",110
Machobbechab,輕率的,"mi, ma, achobbechobba, neutr. i. chummobbechob, to be hasty. Chobbechob, act. et trans. Chobbechob, nom. hasty.",111
Machomorraja,混淆的,"mi, ma, achomorraja, frightened, confounded. Pachomorraja, trans. et act. Achomorraja, confusion,. Ma achomorraha, fright, imp. act. achomorraja, achimorraja, inachomorraian, tran. ipachomorraja, pas. ipachomorraja, inipachomorraia, inoachomorraia, ino ipachomorraia.",111
Macho,拿去其它地方,"minacho, mamacho, achoa, achon, inachon, ino achon, to take elsewhere; but this word in construction with nouns takes （n,） as machon o bido.",111
Mahonsar,永恆的；持久的,"everlasting. Pachonsar, trans. Machonsar, one who perpetuates. Acho, nom. ma acho, one who causes continuance.",111
Machonchon,犁過的,"mi, ma, achochonna, neutr. ploughed. See chûmmûchon, nom. chonchon, a ploughman.",111
Machonagh,出沒,"mimachonagh, mamachonagh, achonagh=cha, to haunt. Pachonagh, trans. Achonagh, haunted. Ma achonagh, a haunter. Pachonagh, act. achonagcha, inachonagh, trans. ipachonagcha, pas. ipachonagh, inipachonagh, inoipacho-nagh.",111
Machoraap,the same as pedara,"mi, ma, achorapa, neutr. the same as pedara. Pacheraap, trans. achoraap, nom. as aidarra. Pachoraap, act. trans. imp. achorapa, achrapen, inachoraap, ipachorapa, pas. ipachoraap, inipachoraap, ino achorap, ino-ipachorap.",112
Machote,對不愉快的事物產生反感、受到懲罰,"minachote, manachote; acho-tea, averse to any thing that is unpleasant. Also to suffer punishment. The root is chûmmote, see also act. pachote, in p. punishment. Maachote, a sufferer. chote, suffereing.",112
Machotul,（物理上的、道德上的）彎曲的,"mi, ma. achotulla, neutr. bent, not straight, physically and morally. Pachotul, act. et tran. pi, pa, imp. achotulla, ipachotulla, pas. ipachotul, &c. Chotul, a curve.",112
Machûmmachûmma,難以辨識的,"mi, ma, achúmmachûmma, indistinct, the opposite of marimasal. Chûmmachûmma, nom. Ma achûmmachûmma. Pachûmmachûmma, act. achûmmachûmma, achummachumman, inachummachumman, inoachummachumman, trans. ipachûmmachumma, pas. ipachummachûmma, &c.",112
Mada,分割；區分,"minada, mamada, ada, adan, inadan, inoadan,  to divide. Pada, trans. Ada, a share. Ma ada, a sharer.",113
Madaap,匆忙,"minadaap, mamadaap, adapa, dadpen, inadap, ino-adapen,  to make haste. Padaap, imp. ipadaba, trans. ada aba, acti. Pass. ada aben, inadaab, inoadaaben, padaab, inipadaab, inoipadaab, adaab, haste. Ma adaab, one who hastens another.",113
Madaal,無恥的,"mi, ma, ada-alla, neutr. dishonourable, shameless. Pa-da-al, act. et trans. da-al, nom.",113
Madabbi,滿足的,"to be satisfied, mi, ma, adabbia. Padabbi, trans. satisfied, dabbi, satiety. Ma adabbi, a satisfier. Adabbi, satisfying, act. Padabbi, act. adabbia, adabbin, trans. ipadabbia, pas. ipadabbi, inipadabbi, ino adabbien, inoipadabbi.",113
Madaddo,拒絕,"ininadaddo, mamadaddo; adaddoa, to refuse: pas. adadoan, inadadoan, adaddoan. Padad, daddo, a refusal. Ma adaddo, a refuser.",113
Madallal,紳士的,"g: mi, ma, adaldalla, gentle, as ma-allal. Padaldal, pa-al-al, trans. Daldal, mildness. Ma-adaldal, one who wishes to be kind. Padaldal, act. adaldalla, adaldallen, inadaldal, paal-al, trans. imp, ipadaldalla, pas. ipa-daldal, inipadaldal, inoadaldallen.",113
Madallolees,發亮的,"mi, ma, neutr. glistering, shinning, as if well scoured: but this only refers to any thing that has a white ground, and differs from raosan.Dallolees, nom. a shining, it is also the name of a tree, the bark of which shines like the European beech.",114
Madarram,受過訓練的,"minadarram, mamadarram, adarrama, darrammen, madarram, inodarrammen, trained; see the root dummarram, and there the neutr. daram, experience. Ma-adarran, one who is trained.",114
Madas,稱讚,"minadas, mamadas, adassa, adassen, inoadassen, to praise. Madadas, also padas, praise. Ma-adas, a praiser.",114
Maddik,阻止,"minaddik, mamaddik, adikka, &c. to forbid. Paddik. Adik, a prohibition. Ma adik, a prohibiter.",114
Maddobor,忙碌的,"mi, ma g: addoborra, busy, encumbered, neutr. Padobor, trans. Ma-adobor, troubled. Adobor, trouble, act. dobbor, care. Padobor, act. adoborra, adoborren, inadobor, trans. imp. padoborra, pas. padobor, &c.",114
Madigh,生病的,"sick, mi, ma, adicha, nom. adject. Ma-adig, a sickness, one who makes sick, Adigh, a sickening. Dich, nom. sickness. Madeadig, intend. nom. Padich, act. adicha, adich, inadich, trans. ipadicha, pas. ipadich, inipadich, inoadichen, inoipadich, &c.",114
Mado,一條狗,a dog.,115
Madidden,牢固的；接近的,"mi, ma, g: adiddena, firm, close, fast holding.Madidden o arrar, a strong railing. Adidden ja tataap-oe, hold it dast. Applied to the mind, firm undaunted. Dadden, firm. Pa-didden, trans. Ma adidden, one who makes fast: adidden, a fastening. Pa-didden, act. adiddena, &c. trans. padiddna, pas. ipadidden, &c.",115
Madirdir,顫抖,"minadirdir, mamadirdir, adirdirra, to tremble. Padirdir, act. et trans. dirdir, nom. a shaking",115
Mado,煮東西,"minado, mamado, adoa, adoan, inadoan, inoadoan,  to cook. Pado, trans. Ado, a cooking. Ma ado, a cook.",115
Madobdob,匆忙,"minadobdob, mamadobdob; dobdobba, dobdobben, zinobdob, inodobdobben, hurried and in difficulty. Padobdob, trans. See dûmmobdob, to hasten, neutr. nom. dobdob. Ma adobdob, one who hastens another.",115
Madochallam,（劇烈）天氣、氣火的緩和,"minadochallam, mamadochallam, adochallama, the calming and clearing up of wind and weather; also of anger. Padochallam, act. et trans. imp. adochallam, adochallaman. ipadochallama, pas. ipadochallam, inadochellaman, inoadochalleman, inipadochallam, inoipadochallam. Adochallam. Ma adochallam, one who calms people.",115
Madodevbo-ibo,昏倒；虛弱,"Madodevbo-ibo, faint, weak; mi, ma, adodeibo-iboa, lax. Padodeibo-ibo, trans. et act. imp. adodeibo-iboa, adodeibo-iboan, inadodeibo-iboan, &c. pas. ipadodeiboibo, &c. Adodeibo-ibo, faintness. Ma adodeiboibo, one who makes faint.",116
Mogareogeo,如馬車輪子般的扁平圓形,"mi, ma, gareogera, flat, and round like the wheels of a coach. Pagareogeo, tran. et act. nom. gareogeo.",116
Magagidsi,兩者 （both）,"and magagri, mi, ma, both neutr. from chûmmagids and gûmmagri, ticklish.",116
Maggaga,拋,"minaggaga, &c. see magga, to throw after. Maggag o bato, to stone.",116
Magcha,眼睛,the eyes,116
Magaiech,延誤,"mi, ma, agaiecha, neutr. from gummaiech, to delay. Aguiech, lateness, used adverbially. late. Ma agaiech, a delaying, adject.",116
Magak,呼喚,"mi, ma, agakka, pass. agakken, &c. to call out, as pallieb. Pagak, trans. intend. magagak, agak, nom.",117
Magchitagchitat,未決定的；可改變的,"mi, ma, unsettled, changeable: mi, ma, agchitagchitatta, is not said of men's will or words, but refers to things that exist now and then, as magchitagchitat moetas, it rains some times.  Agchitagchitat, changeableness.",117
Magga,達成目標的手段,"minagga, mamagga, agga, the means in order to an end, yaga, miagga, inojagga, the object or aim; agan, inagan, inoaggan, to throw out of the hand. Maggo taggargar, to cast anchor. Paga, trans. Aga, the throwing of projectiles. Ma aga, one skilful in throwing.",117
Maggo-aan,投擲,"Maggo-aan, mi, ma, aggo-ana, compounded of magga, to throw, and ann, food; when tow parties, after having promised their children, previous to the marriage, feed each other. Paggo-an, trans. aggo-aan, nomen. subst.",117
Maggaat,被指向的,"mi, ma, sharp: agaata, pointed. Maggaat o zinoe, a sharp knife: maggaato raro, a three cornered hat. Maggagaat, intend. from gummaat. Gaat, a point. Ma agaat, any thing pointed.",117
Magge,堅韌的；黏的,"mi, ma, imp. aggea, tough, sticky, paste made from rice, starch, &c.",118
Maggogh,惹惱,"mi, ma, aggocha, to annoy by vexation. Maggogh ja na, azijel o mababat, maggoghja, maggogh ja na babiaro machip. Pagoch, trans. goch, vexation. Ma agoch, vexer. Pagoch, act. agocha, &c. trans. ipagocho, &c.",118
Maggos,用網抓魚,"mi, ma. agossa, to fish with a sweep net, bu which the fishes are inclosed. Pagos, transi.",118
Maggotarrar,彎曲某物,"mi, ma to bend any thing on the edge or end, as the edge of a napkin, &c. Also to go slanting upwards, as a way. Pagotarrar, trans. et act. imp. agotarrarra, agotarrarran, ipagotarrarra, pas. ipagotarrar, &c.",118
Magoûlyk,扭到腳,"Magoûlyk, mi, ma, agoulyka, neutr. to sprain the foot, to wrench. Pagoûlyck, act. et trans. a sprain of the foot. The natives cure this by the leaves of a certain tree, called satik, with which they bind up the limb in order to soften the skin, or to disperse the extravasated blood.",118
Magomach,消失,"mi, ma, agomacha, neutr. blotted out. See gûmmach.",118
Magoragh,擦去的皮,"mi, ma, agoracha, the skin rubbed off; magoragh ja rima, the skin is off my hand. Magar aggorach, intend.",119
Mai,來,"mimai, mamai, imp. moa, to come. the 3rd person has sai, sanai, sasai, trans. only in the 3rd person, pasai, pi, pa: ipasaya. Mai, is he well? interrogatively.",119
Mai-acho,與我們有關的人 （親戚）,"Mai-acho, all those who are related to us, whether male or female; also step father and mother. Seems to be compounded from the verbs Mai, to come, and macho, to bring; because when the daughters marry, they bring their husbands home to dwell.",119
Maibas,相似物,"alike: mi, ma, imp. aubasa, aibas, nom. likeness. Ma aibas, one who makes alike. Paibas act. et trans. imp. aibasa, aibasan, inaibasan, inoaibasan, ipaibasa, ipaibas, &.",119
Maibat,為另一人工作,"minaibat; mamaibat, aibadda, aibaddan, inaibaddan, ino-aibaddon, to work for another for one's board. as the poor do for a meal. Men say also mikat. Paibar, trans. with respect to the person who is served; aibat, nom. service. Maibat, a servant, a labourer. Pas. aibadden, inaibda, inaibadden, inaibad, inoaibadden, with respect to the hire that is obtained.",119
Majed,小的；好的,"mi, ma, small, fine; but it is only said of many, for with regard to few it is keuzi; also than not thick. As makied. Paied, to make small. Ma-a-ied, or makikied, thin, Pa-i-ied, pakikied, trans.",120
