詞條,釋義,中文,頁數
Mamotto,simply.,簡單地,131
Mamottomotto,"angular, cornered, not round: mi, ma, amotto, mottoa, intend.
pamotto-motto, act. trans. amottomottoa, &c. nom.
motto-motto, an angular form.
Ma-amotto-motto, one who makes angles.",有角的；非圓形的,131
Mampa,"a bird.
achoar, dakoe, or damorij: unknown.
maars, a quail.
kole-_-kis, kissabre: a finch.
dollij, kalo: a wagtail.
koekoen-o-oog, a cuckoo.
zier, a sparrow.
k_ibil, a swallow.
togen, a s_ipe.
teo, a stork.
poa, a hen.
sarra ou oa, a crow.",鳥,131
Mamya,"gorrogot, gogoptoto, betoto: a dove.
pook, an owl.
kokko, a hen.
tebabon, a duck.",鳥,132
Man,"minan, maman, channa, channan, incchan, to eat away, to wear.
Poan, pi, pa, to feed, to give to eat, imp.
ipanna, channea, pass.
channan, imnan, inochannan, with respect to the person who is fed.
But iporan, inipoan, inoipoan, with respect to the food one eats.
Nom. from man, is inochan, food. 
From pan, is aan, feeding, a meal, and ma-aan, a feeder.
Karri, man-aan, to feed one another.
Aan o marpe, supper.
Maggo-aan, to feed.
Man o paissina, breakfast.
Man o lallian, dinner.
Man o maroop, supper.",餵食；早餐；午餐；晚餐,132
Mananat,"ananadda, to do any thing first, minanamat, mamananat, or ananade o de boma,
go forward into the field; ananadd' o man inonoe, do you eat first.
Ananadden, inananad. inoananadden, als tûmman-aab.
Pûnanad, act trans. ananadden, inananad, pass.
ipanmad, &c. M_nad, one who preceds in drinking, working, &c.",先（做某事）,132-133
Manna-achpil,"to repeat five tim_
ma, panna-achpil, to do any thing, times, pi, pa, imp.act. trans.
a_, pila, ana achpilan, inama achp_
na achpila, pas. ip_na achpil,
achpil, &c. nom. ana achpil, five _.",重複五次,133
Mamacha,"minamacha, mama_
annacha-a. amachan, imannach
annachan, to play the fool with 
one, to joke. Pannacha, trans
cha, jesting. Ma-amacha, a j_",愚弄；開玩笑,133
Ma-mamaspûtil,eight times.,八次,133
Mannapida,"to be often repeate_
ma. Panapida, to do any thing
pi, pa. imp. act. trans. anapida
pidan, inanapida, ino anapidan,
pida, pas. ipanapida, &c.",經常重複,133
Mannapilo,seven times.,七次,133
Manna-spattil,four times.,四次,133
Mannatannacho,nine times.,九次,133
Mannatapil,six times.,六次,133
Mannatorro-us,three times.,三次,133
Manna-was,twice.,二次,133
Manna-teschiet,ten times.,十次,133
Mantas,"once: mi, ma, antassa",一次,133
Mantantas,"sometimes, occasion.",偶爾,133
Mantas,now and then.,偶爾,134
Manniki,"ininanniki, mam_nniki, aenikia, to jest, to trick.
Ditto adorned, as malla.
Panniki, imp. annikia, annikien, inanikien, ino annikien, ipanikia. pas.
ipaniki, inipaniki, inoipaniki.
Anniki, show, mockery.
Ma anniki, a mocker, a show man.",嘲笑,134
Mannoa,"mi, ma, annoa, the twisting together of twigs, for basket work.
As merichichoa, to twine.",將細枝纏繞，用於製作籃子,134
Maoom,"to be ripe; is said of fruits, mi, ma, aooma.
Pa-oom, a-oóma, ipaoôma, Oom, ripe.",（水果）成熟,134
Ma-osum,"jet black, see makosum.",烏黑,134
Mapaa,"many, many times, mi, ma, mapapan, intend.
mepan. Papan, to multiply. imp. 
apanna, apannan, inapannan, inoapannan, ipapanna, pas.
ipapan, inipapan, &c. 
Ma apan, one who makes much, a multiplier.",許多次；乘以；繁殖力強者,134
Mapapa,"to be short; mi, ma, mapappa-pappa, pi; pa, imp.
apappû-a, apapapa.
Papaûn, mapapaûn, pas. inapappa, &c.
Pappa, shortness.
Ma apappa, a shortener, apappa, a shortening.",短的,134
Mape,"to be bitter, mi, ma, ape, apean, inapean, inoapean.
Pap, to embitter.imp. apea, apean, inapean, ipapea, pass.
ipape, inipape, apean, &,c.
bitterness. Ma-ape an embit_",苦的,134-135
Mapiegh,"minapiegh, mamûpiegh_
cha, to fight with weapons _
apiegapiachcha, inapiech, in_
chen, the party is attacked _
apiech, a fighter. papiech, tra",（用武器）戰鬥,135
Mapil,to break in pieces. Papi_,碎成碎片,135
Mapir,"mi, ma, apirra, iapir, w_
pect to the person who is a_
inapir, inoiapir, with respect
hand with which people fight
strike the contrary way; to sw_
arms backwards and forwards.
trans. apir, nomen. a smiting
wards. Ma-apir, one who so _.",,135
Mapies,"minapies, mamapies,
apissen, in pis, ino apissen, to
any thing from any one and 
away. Papir, trans. nom. apis_
privation. Ma apis, a depriver _",剝奪,135
Mapóchipogh,"muddy, thick.",混濁的；厚的,135
Mapûgh,any thing held together mouth.,合在一起,135
Mapor,"minapor, mamapor, apor_
the chewing of betelnut.",咀嚼檳榔,135
Mapoto,"mi, ma, apotoa, neutr.
thin as water. Papato, pi, pa_
apotoa, apotoan, inapotoan. inoap_
papotoa, pas. ipapoto, &c. to make thin as water.",淡如水,135-136
Mapaûlaik,"mi, ma, apoûlaik, pass. neutr. 
bald-headed, imp.apaûlaik, apaûlaikan, ipapanlaik, pas.
ipapaûlaikan, &c.
Papaulaik. pi, pa. to make bald.
Paulaik, baldness.
Apaulaik, a making bald.
Ma-apaulaik, one who makes bald.","禿頭的（光頭的）； 
使土地光禿",136
Maroag,a hare or rabbit,野兔；兔子,136
Marab,"mi, ma, arabba, drunken.
Arab, drunkenness; morróarab, a great drunkard, inured to drinking.
Maarab, a drink.
Parab, trans. et act. to make drunk; 
pi, pa, araba, araban, inaraban, inoaraban, iparaba, &c.",喝醉的；醉酒；酒鬼；酒,136
Maraas,"mi, ma, hard.
Araasa. Maraas o bato, a hard stone; maraas a o, hard drink.
Maraas o ranied, a hard voice.
Parûas, trans. to make hard.","硬的；濃烈的（酒）；
硬朗的（聲音）；使努力",136
Marûal,"mi, ma, araûla, neutr. intend.
mararûal. Paraal, act. et trans. flat, level, as land; intend.
pararaal, nom.
aroal, and araraal, evenness; maaraal, one who makes even.",意圖；平坦的；平坦如地,136
Marabal,"minarabal, ma, araballa, standing, upright; 
marabal o assaban, the village is aroused.",站立的；直立的,136
Marabbo,"the drawing together of clouds.
mi, ma arabboa, Parabbo, cloudy, araboa, rabboan, rir_
inorabboan, ipûrabboa. pass. i_, bo,&c.
Rabbo, clouds.",陰天的；雲,136-137
Marach,"mi, ma, racha, rachen, inorachen, to take, to fetch, to receive.
Parach, trans. nom. a reception; 
ma-arrachen, ceiver; mararach, intend.",拿到；取得,137
Maraggaragga,"minaraggaragga garagga, to creep on the hands and knees.
Paraggaragga, tocaus_.",躡手躡腳,137
Maraghrûgh,"thick, coarse; ma_
a naupoot, coarse linen;
ragh a baron, a thick piece
Raghragh, thickness.",厚的；粗的,137
Marailen,"minarailen, mamarai_
la, arailan, maraila, inoarailen
suspicious of any one.",多疑的,137
Marais,"mi, ma, araisa, brave, disturbed.
Rais, disturbance, a disturbing; ma-arais a
amazon, a shrew, a scold
to disturb another; act. et tra_
araisan, inaraisan, pas. ipara_",勇敢；打擾,137
Maramoramo,"twilight, between
and darkness. See also ma_
chûmmo.Rammorûmmo, no_",黃昏,137
Marana,"minûrana, manûrana
inûrana, inoûranan, the cutting of millet or rice, to mow.
Porarana, trans. arana, a mowing.
Ma-arana, to mow. Arrana, time or place of harvest.",割（稻米、小米）,137-138
Maranoad,"mi, ma, mama: aranoadda, pas. aranoaddisit,
( with respect to those who hear it, )
the singing of the bird named adam on the right hand.",鳥（叫adam）叫聲,138
Marij,"mi, ma, aria, pass. ari-in, inari-in, inoari-do.
on the left hand.",在左邊,138
Marapal,"mi, ma, arapalla, neutr. blind.
Nom. rapal, blindness.
Adject. ma-arapal, blind.",盲目的；失明的,138
Marar,"ordinary, inferior.",普通的；次等的,138
Marapies,"mi, ma, arapisa, wicked.
Parapies, pi, pa, arapisa, iparapisa, to do wickedness.
Irapisen, inarapies, inoarapisen, iparapies, iniparapies, inoiparapies, rapies,
wickedness, from marapies, neutr; marapies, bad, adject.
Arapies, to make bad; from parapies, act, 
and it is the same that rarapies is in rummapies.",邪惡的,138
Mûrara,"minarara, mamarara, imp.
arara-a, to enlighten; rarû, the light.
Parara, trans. et act. imp. arara-a, arara-an, inarara-an, inoarara-an, iparara-a, pass.
ipararû, inipar_rû, inoiparara.",啟發；燈光,138
Mararûrara,"intend. Rara, light. S.u_st.
arara, enlightening; ma-ara_
enlightener. Hence araraan-_
the full moon, that is, an enli_
moon, because when full it
enlightened by the sun.",照亮,138-139
Mararain,"big with child, mi, ma
ina. Pararûin, to be pregnan_
imp. act. trans. araraina, a_
inararain, inoararûinnen, ipa_
pass. ipararain, &c. Rarais, p_
cy. Ararain, do. Ma-ararain, gets with child.",懷孕的,139
Mararam,"minararam, mamûrara
dazzling of the eyes. Araram_
ararammen, inararam, inoara_
Pararam, trans. raram, a d_
ma-araram, one who dazzles.",眼花撩亂的,139
Mario-acho,"a lord, a regent",君主,139
Maredo,"mi, ma, aredoa, neutr.
ed, extended, as tûmcho.",廣大的,139
Marcharcha,"mi, ma, archarcha
clear, able to see clearly. P_
cha, act. et trans. pi, pa, arch
archarchan, iparcharcha-a, pas.
iparcharcha, &c. Archarcha, clearness.",清晰的,139-140
Mariabas,"contract. pro. marach iabas, mi, ma, imp.
ariabassa. Pas. ariabassen, &c. 
sea shell-fish, muscles.
Pariabas, trans.",契約,140
Maribaribat,"minaribaribat, mamaribaribat, aribaribatta, aribarihatten, inaribaribat, inoaribaribatten,
to hunt wild animals, birds, beasts, or fishes.",打獵,140
Marideried,"mi, ma, ariderieda, neutr.
heavy laden. Parideried, pi, pa, imp.
ariderieda, &c. iparideried, &c.",沉重負載,140
Maribo,"turbid, mi, ma, ariboa, ariboan, inariboan, inoariboan, ipariboa, pas.
iparibo, &c. Ribo, nom. muddy.
Hence aribo, a befouling; ma-aribo,
one who befouls.",混濁的；弄髒的,140
Maricn,"according to heathen custom,
mi, ma, arien, a heathen practice.",野蠻的習俗,140
Ma-aries,"a priest, a priestess.",牧師,140
Marid,"to dry, as in puddles, morasses, or rivers; 
to be dried up by the sun.",乾燥,140
Maries,"mi, ma, imp. arioa, good, and rio, goodness.
Ario, an improvement, from pario; ma-ario, one who makes good.
Pario, pi, pa, &c. 
see in P. mario rio, nom. riorio, intend.",優良,140-141
Mariggo,"and intensively, mariggoriggo, mi, ma, ariggoa, neutr.
changeable; mariggo o atite airab. &c.
to change one's word or will. Pariggo, act. et trans.",可改變的,141
Marimasal,"mi, ma, arimasalla, clear-sighted, to look with wide open eyes.",目光清晰、遼闊,141
Marior,"minarior, mamarior, ariorra, to follow after; neutr.
parior, to leave behind; imp.
ariorra, ariorran, inarior, inoariorran, ipariorra, pass.
iparior, &c. rior, a following behind.
Arior, a leaving behind; ma-arior, to leave behind.",追隨,141
Maripoch,"mi, ma, aripocha, aripochen, inaripoch, inoaripochen, disturbed, fretted;
maripoch, jain_sies, my mind is uneasy.
Paripoch, a disturber.",不安的；煩躁的,141
Markarkagh,"clear, clean, not foul.",清晰的；乾淨的,141
Maripoedpoed,"mi ,ma, aripoedpoedda, to clew up, to wind, aripoedpoed, nom.
one who clews.",纏繞,141
Marikak,"mi, ma, arikakka, neutr. straddling wide.
See also rûmmikak.
Parikak, pi, pa, imp. arikakka, arikakken, &c. iparikakka, pass.
iparikak, &c. act. et trans. to straddle.",跨越,141
Marmimi,"to doubt; minarmimi, mamarmimi, mamirmia, armimian, inarmimian, &c.
aramimi, a doubting.
Parmimi, trans. Ma-armimi, a doubter",懷疑,142
Marichûm,"mi, ma, as maritûp, even, cut of straight, as a bamboo, or piece of wood transversely.
See rûmmichum.",橫切,142
Marûmmo,"whole, not in pieces, nor broken.
Written marunmo, mi,ma, arûmmoa.
Parûmmo, to make a whole. imp. arûmmoa, act.
arûmmoan, iparûmmoan. inoarûmmoan, iparûmmoa, pass.
trans. iparûmmo, &c. iummo, soundness; ma-arumm_, a healer; arummo, a healing.",整個（完整）,142
Maricpriep,"mi, ma, to earn; same as marichum and marisap.",贏得,142
Marne,"still, calm, also weak, pass.
See parne, and rummene.
Arne, calmness, stillness.",平靜的；虛弱的,142
Marimmoamon,"to swarm, to crawl.",擁擠,142
Maro,"far, deep, mi, ma, aroû, ro, distance, deepness.
Paro, imp. aroa ,aro-an, aroan, inaro, inoaroan, iparoa, pas.
_p_o iniparo, inoiparo; ma-aro, one who deepens. Aro, a deepening.",深的；遠的,
Maromorromo,"round, neutr. from rûmmomorromo, mi,ma, rommorromo, roundness.
Ma-aromorromo, one who rounds.",圓的,142-143
Maronno,"mi, ma, shadows, neutr. See rûnuûinno; ronno, shadow. Ronno an aijan, a shadowy plce.
Paronno, act. et trans. pi, pa, aronnoa, aronnoan, inaronnoan, *inoaronnoan, iparonnoa, pas.
ipûronno iniparonno, inoiparenno.",陰影,143
*Maroop o zsia,"the time from  afternoon till  sun set. mi, ma, verbum.neutr.",從下午到日落的時間,143
*Maror,"mi, ma, arorra, arorren, &c. to run against any thing.",反對,143
Marossoalja chûan,"the squeamishness of the stomach after having eaten any thing nauseous. 
mi, ma, marossoal ja ma-achaan inai o micbam.",吃壞肚子的聲音,143
Marorio,"arorroa, together in common, &c. a crowd. or assembly. See pûrorro.",群體,143
Marpibi,"minûrpibi. mamarpibi. *arpibi, neutr. to wake up to awaken. Parpibi. pi, pa, imp. act, trans.
arpibia, arpibi-in, inarpibi, inoarpibian, pas. iparpibi. &c arpibi, a waking up.",叫醒；喚醒,143
Marotûl,"without any thing, deprived of everything. Ta Deos marotul ja bog, God is incorporeal, i.e.
without a body, *pr. iut. ma, nom. deprivation, see the root rummûtul. Ma-arotul, one who is destitute. 
The Favorlang people do not use this word thus, but as the end of a chair, or table; 
still it comes to the same thing, for where any thing ends. there it exists no more.",一無所有；不再有,143-144
Marri o toi,"to pick out a splinter with a knife or needle, minarri, mamarri, arrio, arrien, narri, inoarrien.",(用刀子、針)挑出碎片,144
Makallien,"mi, ma, akallia, idem Takeis.",,144
Marri o roos,"oebes to dig out, mi, ma, arria, pas. arrin, &c. see above.",挖出,144
Marisup,"roughly, cut off, from rummisup, mi, ma, as a bamboo, round stick, &c. transversely; item marrichum.",切下,144
Marroak,"loose, notclosetogether. 
Marroak onaupoot, a loosely woven stuff, marroak o adda, paddy thinly sprung up.",鬆散的；不緊密的,144
Marroom,an ornament made of shells.,貝殼製成的裝飾品,144
Marrûp,"minarup, mamarup, arûppû, aruppen, inoaruppen, to waive with the hand.",放棄,144
Marsoasoal,"mi, ma, arsoasoalla, neutr. to seethe, or bubble up, as water does when it boil.
Parsoalsóal, imp. 
arsoasoûlla, arsoasoûllen, inarsoasoûl, inoasoasoal, iparsoasoalla, pas. soasoûllen, a seething.
Ma-arsoasoal, a seether.",沸騰；冒泡,144
Martsi,"ripe, spoken of field fruit. Artsi, nom. ripeness.",(野果)成熟,144
Martûatûal,to tumble head over heels.,跌得暈頭轉向,145
Masa,"minasa, mamasa, asa, *ason, inasa, inoasan, to barter, to sell. Aso,ware, merchandize; 
ma-asa, a seller; masa, is also a noun, and means the same as in Takeis.",易貨；賣,145
Marpesa,the evening.,晚上,145
Masa,well cooked.,煮熟的,145
Masaba,"poor, necessitons; masabba o machan. destitute of food; manabba o arribil, without furniture;
mi, ma, asabba. Sabba,nom. poverty, necessity. Pasabba, imp. asabba. asabban, &c.
pas. ipasabba, &c. to make poor.",窮困的；貧乏的,145
Masallaad,"mi, ma, assliadda, the nunk of a tree from which the branches are cut off, 
but the roots still left in the ground. Sallaad, such a trunk.",樹根；樹基,145
Masammo,"mi, ma, asammoa, withered; metaphorically used of those who are wasted by sickness.",枯萎；凋謝,145
Masannam,"minasannan, mamasannan, asanama, asanannan, inasanûnnan, to be envious, or jealous, to hate.
Saman, nomen. envy, jealousy, hatred. Ma-asannan, one who envies.",嫉妒；羨慕,145
Masamo,"how. Masanno mato, atasas, qua mamario, maro, &c.",如何,145
Masaod,"to pour out, see summaod.",倒出,146
Masarammosammo,"mi, ma, asarammosûmmo, neutr. the dazzling of the eyes. 
Pasarammosammo, act. et trans. Sarammosûmmo. nom. a dazzing.",令人目眩的；眼花撩亂的,146
Masarra,"minasarra, inamasarra, asarra, asarran, inasûrra, inoasarran, to look at, to behold.
Asarra, a beholding; ma-asarra, a spectator.",看；注視,146
Masas,"asassa, lazy, slow.",懶惰的；遲緩的,146
Maselakko,"mi, ma, aselakkoa, entirely useless through, idleness; paselakko, trans. et act.
Selakko, laziness; maaselakko, one who makes another lazy.",沒用的；懶散的,146
Masasoom,"mi, ma, to bring two ends together. Tabai pans a don masasoom ja ina don.
Tabai pans's house adjion mine. See sasoom, and summasoom. Susoom, nom.
pasasoom, trans. the place where two things join; maasoon; 
masasoom, also masasoom abaas, a complete year.",兩物結合,146
Masaso,"minasaso, mamasaso, asasoa, asasoan, inasasoan. 
inoasaso, to loiter, to be dissatisfied, to hate. Pasasso. trans.
Marasso ija ma, I am dissatisfied with you, and thus is taken to mean dislike and hatred. 
Sasso, displeasure, hatred, Ma-asasso, a pouter.",不滿的；仇恨的,146
Msat,"minasat, mamasat, asatta, asatten, inasat. inasatten,
 to carry two burthens along the road, bearing them by turas, and then setting them down.",攜帶；承載,147
Masaû,"minasau, mamasau, asau-a, asauen, inasaû, inoasauen, to beat seed out of the busk,
which is done on th ground, with a beater called tatta. Pasau, tran. asau.",敲打；拍打(種子),147
